COPA,,,,,,,,,,,A,,,,,,,,,,,,,,String only,"Coatomer complex / non-clathrin-coated vesicular coat proteins /mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network.",10.1038/ng.3279. 
KIF5A,,,,,,,,,,,A,,,,,,,,,,,,,,String only,Microtubule-dependent motor required for slow axonal transport of neurofilament proteins/ Microtubule-dependent motor required for slow axonal transport of neurofilament proteins/ALS,10.1016/j.neuron.2012.10.012.
SUFU,,,,,,,,,,,A,,,,,,,,,,,,,,,Negative regulator in the hedgehog/smoothened signaling pathway.,
ARIH2,,,,,,,,,,,A,,,,,,,,,,,,,,,E3 ubiquitin-protein ligase works ogether with cullin-5-RING ubiquitin ligase complex activity is activated upon binding to neddylated form of the ECS complex,10.1182/blood-2005-04-1450
COPS7A,,,,,,,,,,,A,,,,,,,,,,,,,,,component of the COP9 signalosome complex regulates the activity of the ubiquitin conjugation pathway by mediating the deneddylation of the cullin subunits of SCF-type E3 ligase complexes,PMID: 11861754
CUL4B,,,,,,,,,,,A,,,,,,,,,,,,,,,E3 ubiquitin ligase - may act as a scaffold protein,10.1016/j.gene.2015.08.064
GPS1,,,,,,,,,,,A,,,,,,,,,,,,,,,component of the COP9 signalosome complex regulates the activity of the ubiquitin conjugation pathway by mediating the deneddylation of the cullin subunits of SCF-type E3 ligase complexes,PMID: 11861754
HERC2,,,,,,,,,,,A,,,,,,,,,,,,,,,E3 ubiquitin-protein ligase that regulates ubiquitin-dependent retention of repair proteins on damaged chromosomes,10.1158/0008-5472.
KLHL10,,,,,,,,,,,A,,,,,,,,,,,,,,,May be a substrate-specific adapter of a CUL3-based E3 ubiquitin-protein ligase complex ,10.1095/biolreprod.105.045484
KLHL2,,,,,,,,,,,A,,,,,,,,,,,,,,,Component of a cullin-RING-based BCR (BTB-CUL3-RBX1) E3 ubiquitin-protein ligase complex / Actin binding,10.1016/j.bbrc.2013.06.104.
MYCBP2,,,,,,,,,,,A,,,,,,,,,,,,,,,E3 ubiquitin-protein ligase / also acts as a guanosine exchange factor (GEF) for RAN,10.1038/s41586-018-0026-1
PSME3,,,,,,,,,,,A,,,,,,,,,,,,,,,"proteasome regulator/ Facilitates the MDM2-p53/TP53 interaction which promotes ubiquitination- and MDM2-dependent proteasomal degradation of p53/TP53, limiting its accumulation ",10.1007/s10495-015-1149-6.
RNF220,,,,,,,,,,,A,,,,,,,,,,,,,,,E3 ubiquitin-protein ligase,10.1128/MCB.00731-14.
UBE2F,,,,,,,,,,,A,,,,,,,,,,,,,,,ubiquitin protein ligase activity / E2,10.1016/j.molcel.2009.01.011.
UBE3A,,,,,,,,,,,A,,,,,,,,,,,,,,,E3 ubiquitin-protein ligase,doi: 10.1146/annurev.biochem.78.081507.101607.
UBE3C,,,,,,,,,,,A,,,,,,,,,,,,,,,E3 ubiquitin-protein ligase,doi: 10.1146/annurev.biochem.78.081507.101607.
IRAK1,,,,,,,,,,,A,,,,,,,,,,,,,,,"Serine/threonine-protein kinase Phosphorylates E3 ubiquitin ligases Pellino proteins/phosphorylates TIRAP to promote its ubiquitination and subsequent degradation. Phosphorylates the interferon regulatory factor 7 (IRF7) to induce its activation and translocation to the nucleus,  When sumoylated, translocates to the nucleus and phosphorylates STAT3",10.1016/j.cellsig.2007.08.009
CDK1,,,,,,,,,,,A,,,,,,,,,,,,,,,key role in the control of the eukaryotic cell cycle ,10.1007/s00294-018-00926-y
CDK5,,,,,,,,,,,A,,,,,,,,,,,,,,,essential for neuronal cell cycle arrest and differentiation / atypical CDK/ neuronal actin cytoskeletal remodeling,10.1007/s12035-017-0525-3
PDS5A,,,,,,,,,,,A,,,,,,,,,,,,,,,regulator of sister chromatid cohesion in mitosis / DNA repair,10.1002/bies.201600207
PDS5B,,,,,,,,,,,A,,,,,,,,,,,,,,,regulator of sister chromatid cohesion in mitosis / DNA repair,10.1002/bies.201600207
STAG1,,,,,,,,,,,A,,,,,,,,,,,,,,,"a component of cohesin / Cohesin is a multi-protein complex that tethers sister chromatids during mitosis and mediates DNA repair,",10.18632/oncotarget.16838.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATXN7L3,,,,,,,,,,,,,,,,,,,,,,,,,,HAT histone acetylation (HAT) complex SAGA  / de-ubiquitinase,10.1016/j.molcel.2007.12.011.
EYA3,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrosine phosphatase / dephosphorylates 'Tyr-142' of histone H2AX /DNA repair /apoptosis,10.1038/nature07849.
KMT2E,,,,,,,,,,,,,,,,,,,,,,,,,,Epigeneticwriter/ histone methyltransferase/ Chromatin interaction is mediated via the binding to tri-methylated histone H3 at 'Lys-4' (H3K4me3) ,10.1371/journal.pone.0077020.
MIER1,,,,,,,,,,,,,,,,,,,,,,,,,,Transcriptional repressor / recruitment of HDAC1 a histone deacetylase,10.1371/journal.pone.0169338.
PRMT1,,,,,,,,,,,,,,,,,,,,,,,,,,Arginine methyltransferase/monomethylation and asymmetric dimethylation of histone H4,10.1111/j.1742-4658.2006.05399.x
ZMYND11,,,,,,,,,,,,,,,,,,,,,,,,,,Chromatin reader that specifically recognizes and binds histone H3.3 trimethylated at 'Lys-36' / unconventional transcription co-repressor by modulating RNA polymerase II,doi: 10.1038/nature13045.
DLST,,,,,,,,,,,,,,,,,,,,,,,,,,In mitochondria/ also lysine succinylation of histones:,10.1038/nature25003.
PPP2R2B,,,,,,,,,,,,,,,,,,,,,,,,,,phosphatase 2 regulatory subunit B family / function uncertain,
REV3L,,,,,,,,,,,,,,,,,,,,,,,,,,Catalytic subunit of the DNA polymerase zeta complex/ DNA repair via translesion synthesis,10.3390/ijms20010100.
CNOT7,,,,,,,,,,,,,,,,,,,,,,,,,,one of the major cellular mRNA deadenylases / bulk mRNA degradation,10.1042/BST20120074.
BACE1,,,,,,,,,,,,,,,,,,,,,,,,,, proteolytic processing of the amyloid precursor protein,10.2174/156720508783954758
DERL2,,,,,,,,,,,,,,,,,,,,,,,,,,endoplasmic reticulum-associated degradation (ERAD),10.1083/jcb.200507057
ERLIN1,,,,,,,,,,,,,,,,,,,,,,,,,,"mediates degradation of inositol 1,4,5-trisphosphate receptors in the endoplasmic reticulum./he endoplasmic reticulum-associated degradation (ERAD)",10.1074/jbc.RA118.004547. 
KPNA1,,,,,,,,,,,,,,,,,,,,,,,,,,involved in nuclear protein import,10.1083/jcb.201702092.
PPP1R8,,,,,,,,,,,,,,,,,,,,,,,,,,Inhibitor subunit of the major nuclear protein phosphatase-1 / nvolved in pre-mRNA splicing / chromatin modification,10.1074/jbc.M805468200. / 10.1074/jbc.M302273200
USP15,,,,,,,,,,,,,,,,,,,,,,,,,,Deubiquitinating enzyme/ Hydrolase that removes conjugated ubiquitin from target proteins /  associates with the COP9 signalosome  / Regulates ER-Golgi vesicle trafficking ,10.1016/j.cell.2016.05.078.
ABI2,,,,,,,,,,,,,,,,,,,,,,,,,,Regulator of actin cytoskeleton dynamics /controls dendritic spine morphogenesis/endocytic trafficking/ WAVE complex,10.3892/ijmm.9.6.591
PKD2,,,,,,,,,,,,,,,,,,,,,,,,,,"a multi-pass membrane protein that functions as a calcium permeable cation channel,",10.1113/JP270933.
USP19,,,,,,,,,,,,,,,,,,,,,,,,,,Deubiquitinating enzyme/ ER ERAD,https://doi.org/10.3390/ijms17111829
USP46,,,,,,,,,,,,,,,,,,,,,,,,,,Deubiquitinating enzyme/,10.1074/jbc.M808430200
ARNT,,,,,,,,,,,,,,,,,,,,,,,,,,Component of the CTLH E3 ubiquitin-protein ligase complex ,10.1371/journal.pone.0075217
DTX3,,,,,,,,,,,,,,,,,,,,,,,,,,E3 ubiquitin ligase ,10.1074/jbc.M301157200
KCTD1,,,,,,,,,,,,,,,,,,,,,,,,,,Transcriptional repression through AP-2 / Interacts with Cullin E3-ubiquitin ligases,10.1042/BCJ20170527 
ARMC8,,,,,,,,,,,,,,,,,,,,,,,,,,mitochondrially located enzyme / heme biosynthetic pathway,10.1182/asheducation-2012.1.19.
DEPDC5,,,,,,,,,,,,,,,,,,,,,,,,,,component of the GATOR1 complex / an inhibitor of the amino acid-sensing branch of the TORC1 pathway,10.1016/j.nbd.2016.02.010.
FOXP1,,,,,,,,,,,,,,,,,,,,,,,,,,forkhead box (FOX) transcription factor,10.1101/gad.1637108.
IDS,,,,,,,,,,,,,,,,,,,,,,,,,, member of the sulfatase family of proteins / lysosomal degradation of heparan sulfate,
MAP3K5,,,,,,,,,,,,,,,,,,,,,,,,,,essential component of the MAP kinase signal transduction pathway,
NFIA,,,,,,,,,,,,,,,,,,,,,,,,,,a transcription factor / possible epigenetic role,
NR4A1,,,,,,,,,,,,,,,,,,,,,,,,,,transcription factor of of the steroid-thyroid hormone-retinoid receptor superfamily,
NR4A2,,,,,,,,,,,,,,,,,,,,,,,,,,transcription factor of the steroid-thyroid hormone-retinoid receptor superfamily,
RMND5A,,,,,,,,,,,,,,,,,,,,,,,,,,Core component of the CTLH E3 ubiquitin-protein ligase complex  / relates to cell cycle,10.7554/eLife.35528
SENP5,,,,,,,,,,,,,,,,,,,,,,,,,,Protease that releases SUMO2 and SUMO3 monomers from sumoylated substrates, 10.1002/iub.113.
SIX1,,,,,,,,,,,,,,,,,,,,,,,,,,Transcription factor ,
SOS2,,,,,,,,,,,,,,,,,,,,,,,,,,SOS Ras/Rho Guanine Nucleotide Exchange Factor 2 / interaction of Sos1 with the COP9 signalosome,10.1128/MCB.00049-18. / 10.1038/s41389-018-0111-1.
TCP1,,,,,,,,,,,,,,,,,,,,,,,,,,As part of the TRiC complex may play a role in the assembly of BBSome,
TFAP2B,,,,,,,,,,,,,,,,,,,,,,,,,,Sequence-specific DNA-binding protein transcription factor,
TSC2,,,,,,,,,,,,,,,,,,,,,,,,,String,"Acts as a GTPase-activating protein (GAP) for the small GTPase RHEB, / May also play a role in microtubule-mediated protein transport",
ZEB1,,,,,,,,,,,,,,,,,,,,,,,,,,encodes a zinc finger transcription factor /Represses E-cadherin promoter and induces an epithelial-mesenchymal transition (EMT) by recruiting SMARCA4/BRG1,10.1038/onc.2010.102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOPBP1,,,,,,,,,,,,,,,,,,,,,,,,,,Recruits the SWI/SNF chromatin remodeling complex /initiation of DNA replication and regulation of checkpoint responses./DNA repair,10.1016/j.cell.2005.12.041/10.1016/j.dnarep.2014.06.004.
ZNF687,,,,,,,,,,,,,,,,,,,,,,,,,,May be involved in transcriptional regulation/ interacts with The nucleosome remodeling and deacetylase (NuRD) complex,10.1111/febs.12972
LMNA,,,,,,,,,,,,,,,,,,,,,,,,,,"components of the nuclear lamina / important role in nuclear assembly, chromatin organization, nuclear membrane and telomere dynamics",10.4161/19491034.2014.990855.
ZC3H14,,,,,,,,,,,,,,,,,,,,,,,,,,"Involved in poly(A) tail length control in neuronal cells/may influence mRNA stability, nuclear export, and translation. / quality control of mRNA splicing and export ",PMID: 27868086
CLASRP,,,,,,,,,,,,,,,,,,,,,,,,,,alternative splicing regulator/,10.1074/jbc.M206504200
SCAF4,,,,,,,,,,,,,,,,,,,,,,,,,,provide a link between transcription and pre-mRNA splicing.,10.1074/jbc.M803540200
AHCYL1,,,,,,,,,,,,,,,,,,,,,,,,,,"Multifunctional, but regulates some receptor levels at the cell surface / involves IP3",10.1016/j.bbamcr.2014.01.031
ANKRD50,,,,,,,,,,,,,,,,,,,,,,,,,,"retromer-mediated sorting/Involved in the endosome-to-plasma membrane trafficking and recycling of SNX27-retromer-dependent cargo proteins,",10.1242/jcs.156299.
ATG2A,,,,,,,,,,,,,,,,,,,,,,,,,,binds to ligand-bound aryl hydrocarbon receptor and aids in the movement of this complex to the nucleus  TRANSPORT,10.1016/j.bcmd.2010.01.005.
CCZ1,,,,,,,,,,,,,,,,,,,,,,,,,,"a guanine exchange factor (GEF) for RAB7,/required for endosomal maturation and fusion at the vacuole/lysosome",10.1038/ncomms14034.
DOPEY1,,,,,,,,,,,,,,,,,,,,,,,,,,Golgi to endosome trafficking,10.1002/glia.22698
HOOK3,,,,,,,,,,,,,,,,,,,,,,,,,,Component of the FTS/Hook/FHIP complex (FHF complex). The FHF complex may function to promote vesicle trafficking and/or fusion via the homotypic vesicular protein sorting complex (the HOPS complex)./ an adapter protein linking the dynein motor complex to various cargos ,doi: 10.1021/acs.biochem.8b01065.
KCNIP4,,,,,,,,,,,,,,,,,,,,,,,,,,Trafficking of potassium channels from the ER,10.1074/jbc.M306142200
KPNA6,,,,,,,,,,,,,,,,,,,,,,,,,,involved in nuclear protein import,10.1083/jcb.201702092.
NAPB,,,,,,,,,,,,,,,,,,,,,,,,,,SNAP beta isoform/vesicular transport between the endoplasmic reticulum and the Golgi apparatus,10.1111/cge.12648
PITPNB,,,,,,,,,,,,,,,,,,,,,,,,,,Catalyzes the transfer of PtdIns and phosphatidylcholine between membranes. / Golgi transport,10.1016/j.devcel.2018.02.025.
SNX1,,,,,,,,,,,,,,,,,,,,,,,,,,"retrograde transport of cargo proteins from endosomes to the trans-Golgi network/ member of the sorting nexin family/Interacts with membranes containing phosphatidylinositol 3-phosphate (PtdIns(3P)) or phosphatidylinositol 3,5-bisphosphate (PtdIns(3,5)P2)/",10.1016/j.ejcb.2015.07.002
STXBP1,,,,,,,,,,,,,,,,,,,,,,,,,,a component of the synaptic vesicle fusion machinery / SNARE complex ,10.1523/JNEUROSCI.0007-16.2016.
UHRF1BP1L,,,,,,,,,,,,,,,,,,,,,,,,,,Syntaxin associated,10.1111/j.1600-0854
ZDHHC17,,,,,,,,,,,,,,,,,,,,,,,,,,"Palmitoyltransferase specific for a subset of neuronal proteins, including SNAP25,/ May be involved in the sorting or targeting of critical proteins involved in the initiating events of endocytosis at the plasma membrane ",10.1038/nn1702
IPO11,,,,,,,,,,,,,,,,,,,,,,,,,,"Functions in nuclear protein import as nuclear transport receptor / mediate nucleocytoplasmic transport of protein and RNA /nuclear import is to protect PTEN from cytosolic degradation initiated by E3 ubiquitin ligase components,",10.1083/jcb.201612014
KCTD3,,,,,,,,,,,,,,,,,,,,,,,,,, Interacts with Cullin E3-ubiquitin ligases,10.1042/BCJ20170527 
ST7,,,,,,,,,,,,,,,,,,,,,,,,,,May act as a tumor suppressor.,
BNC2,,,,,,,,,,,,,,,,,,,,,,,,,,transcription factor specific for skin keratinocytes/ cell cycle,10.1371/journal.pgen.1000744
ILKAP,,,,,,,,,,,,,,,,,,,,,,,,,, protein serine/threonine phosphatase of the PP2C family./ may play a role in regulation of cell cycle progression / nucleocytoplasmic transport of ILK via nuclear pore,10.4161/cc.7.14.6241
TSN,,,,,,,,,,,,,,,,,,,,,,,,,,"DNA-binding protein that specifically recognizes consensus sequences at the breakpoint junctions in chromosomal translocations, / DNA repair",10.1074/jbc.272.17.11402
ALAS2,,,,,,,,,,,,,,,,,,,,,,,,,,catalyzes the transfer of sialic acid from CMP-sialic acid to galactose-containing substrates,10.1093/glycob/cww098.
CAPZA1,,,,,,,,,,,,,,,,,,,,,,,,,String,F-actin-capping protein /regulate actin cytoskeleton remodelling,doi: 10.1186/s13046-016-0474-0.
CAPZA2,,,,,,,,,,,,,,,,,,,,,,,,,String,F-actin capping protein,
COBL,,,,,,,,,,,,,,,,,,,,,,,,,,reorganization of the actin cytoskeleton /Regulates neuron morphogenesis and increases branching of axons and dendrites / actin nucleator Cobl is critical for neuronal morphogenesis,10.1016/j.devcel.2018.03.007.
COL12A1,,,,,,,,,,,,,,,,,,,,,,,,,,alpha chain of type XII collagen,
COL6A1,,,,,,,,,,,,,,,,,,,,,,,,,,alpha chain of type 6 collagen,
FAM49B,,,,,,,,,,,,,,,,,,,,,,,,,,repressing Rac activity and modulating cytoskeleton reorganization.,10.1073/pnas.1801340115
GNL1,,,,,,,,,,,,,,,,,,,,,,,,,,GTPase,
GRIA1,,,,,,,,,,,,,,,,,,,,,,,,,String,Ionotropic glutamate receptor. L-glutamate acts as an excitatory neurotransmitter at many synapses in the central nervous system,
GRIA4,,,,,,,,,,,,,,,,,,,,,,,,,String,Receptor for glutamate that functions as ligand-gated ion channel in the central nervous system and plays an important role in excitatory synaptic transmission,
GRIK2,,,,,,,,,,,,,,,,,,,,,,,,,,Ionotropic glutamate receptor. L-glutamate acts as an excitatory neurotransmitter at many synapses in the central nervous system.,
HMBS,,,,,,,,,,,,,,,,,,,,,,,,,,heme biosynthetic pathway,
IP6K2,,,,,,,,,,,,,,,,,,,,,,,,,,inositol phosphokinase (IPK) family,10.1038/ncomms5178
IQGAP1,,,,,,,,,,,,,,,,,,,,,,,,,,"regulating the dynamics and assembly of the actin cytoskeleton / a highly conserved cytoplasmic scaffold protein, is able to curb, compartmentalize, and coordinate multiple signaling pathways in a variety of cell types.",10.1016/j.molimm.2015.02.012.
KLF6,,,,,,,,,,,,,,,,,,,,,,,,,,Kruppel-like family of transcription factors,10.1038/s41598-018-31101-5.
MDH1,,,,,,,,,,,,,,,,,,,,,,,,,,"enzyme that catalyzes the NAD/NADH-dependent, reversible oxidation of malate to oxaloacetate",
NODAL,,,,,,,,,,,,,,,,,,,,,,,,,,secreted ligand of the TGF-beta,
OLFM1,,,,,,,,,,,,,,,,,,,,,,,,,,exact function of the encoded protein is not known /Olfm1 may regulate receptor trafficking from the intracellular compartments to the synaptic membrane microdomain/ synaptosomes,10.1111/jnc.14231. 
PGM5,,,,,,,,,,,,,,,,,,,,,,,,,,phosphotransferases involved in interconversion of glucose-1-phosphate and glucose-6-phosphate,
PIP4K2B,,,,,,,,,,,,,,,,,,,,,,,,,,member of the phosphatidylinositol-5-phosphate 4-kinase family / a molecular sensor that transduces changes in GTP into changes in the levels of the phosphoinositide PtdIns5P ,10.1016/j.tibs.2016.04.003.
PITPNA,,,,,,,,,,,,,,,,,,,,,,,,,,Catalyzes the transfer of PtdIns and phosphatidylcholine between membranes. / Golgi transport,10.1016/j.devcel.2018.02.025.
PLXNB2,,,,,,,,,,,,,,,,,,,,,,,,,,transmembrane receptors that participate in axon guidance,10.1074/jbc.M206005200
PLXNC1,,,,,,,,,,,,,,,,,,,,,,,,,,transmembrane receptors that participate in axon guidance,10.1074/jbc.M206005200
PORCN,,,,,,,,,,,,,,,,,,,,,,,,,,membrane bound O-acyltransferase (MBOAT) that is involved in the acylation (palmitoylation) of Wnt proteins / Post-translational modification/ Vesicle transport of Wnt containing vesicle from the ER,10.1371/journal.pone.0212711.
PPFIA1,,,,,,,,,,,,,,,,,,,,,,,,,,regulate the disassembly of focal adhesions/ important for the trafficking of Kif7 and Gli proteins to the tips of cilia/facilitates exocytosis ,10.1126/scisignal.2005608.
RAD54L2,,,,,,,,,,,,,,,,,,,,,,,,,,DNA helicase /ARIP4 a SNF2 chromatin remodeling factor (potential),10.1091/mbc.E08-12-1247
RRM2,,,,,,,,,,,,,,,,,,,,,,,,,,Ribonucleotide Reductase Regulatory Subunit M2 / relates to cell cycle / makes deoxy nucleotides,10.3892/or.2018.6420
SESN3,,,,,,,,,,,,,,,,,,,,,,,,,,May function as an intracellular leucine sensor that negatively regulates the TORC1 signaling pathway,10.1016/j.cmet.2012.08.004.
ST3GAL2,,,,,,,,,,,,,,,,,,,,,,,,,,autophagosome formation/ Atg2-Atg18 complex tethers the PAS to the ER to initiate membrane expansion during autophagosome formation.,10.1073/pnas.1806727115.
STMN2,,,,,,,,,,,,,,,,,,,,,,,,,,Regulator of microtubule stability / SCG10 induced APP accumulation in post-Golgi vesicles and on the cell surface by facilitating its secretory pathway,10.1093/hmg/ddt339.
TEK,,,,,,,,,,,,,,,,,,,,,,,,,,receptor tyrosine kinase,
THSD7A,,,,,,,,,,,,,,,,,,,,,,,,,,Plays a role in actin cytoskeleton rearrangement.,
TMEM131,,,,,,,,,,,,,,,,,,,,,,,,,,Transmembrane protein / unknown function,
TMEM63B,,,,,,,,,,,,,,,,,,,,,,,,,,Transmembrane protein / Acts as an osmosensitive calcium-permeable cation channel.,
TTC17,,,,,,,,,,,,,,,,,,,,,,,,,,role in primary ciliogenesis by modulating actin polymerization,10.1371/journal.pone.0086476.
TTC7B,,,,,,,,,,,,,,,,,,,,,,,,,,Component of a complex required to localize phosphatidylinositol 4-kinase (PI4K) to the plasma membrane,10.1128/MCB.01047-08.
